chebiid	smiles	cmpname
CHEBI:30089	CC([O-])=O	acetate
CHEBI:15361	CC(=O)C([O-])=O	pyruvate
CHEBI:16452	[O-]C(=O)CC(=O)C([O-])=O	oxaloacetate
CHEBI:30031	[O-]C(=O)CCC([O-])=O	succinate
CHEBI:16810	[O-]C(=O)CCC(=O)C([O-])=O	α-ketoglutarate
CHEBI:4608	CSSC	dimethyl disulfide
CHEBI:9349	CS(C)(=O)=O	dimethyl sulfone
CHEBI:13941	NC(=O)[O-]	carbamate
CHEBI:14272	O=CCF	fluoroacetaldehyde
CHEBI:14428	ON=NO	hyponitrous acid
CHEBI:15075	O=[Se](=O)([O-])[O-]	selenate
CHEBI:15226	O=S(=O)([O-])SSS(=O)(=O)[O-]	tetrathionate
CHEBI:15343	CC=O	acetaldehyde
CHEBI:15377	O	H2O
CHEBI:15378	[H+]	H(+)
CHEBI:15379	O=O	O2
CHEBI:15429	NO	hydroxylamine
CHEBI:15571	NN	hydrazine
CHEBI:15740	O=C[O-]	formate
CHEBI:15832	NC(=O)NC(=O)[O-]	urea-1-carboxylate
CHEBI:15858	[Br-]	bromide
CHEBI:15987	O=S(=O)([O-])SS(=O)(=O)[O-]	trithionate
CHEBI:16007	CS	methanethiol
CHEBI:16144	[O-]P([O-])([O-])=[Se]	selenophosphate
CHEBI:16170	[Hg]	Hg
CHEBI:16183	C	methane
CHEBI:16189	O=S(=O)([O-])[O-]	sulfate
CHEBI:16199	NC(N)=O	urea
CHEBI:16215	O=[PH]([O-])[O-]	phosphonate
CHEBI:16223	C[As](C)(=O)[O-]	dimethylarsinate
CHEBI:16236	CCO	ethanol
CHEBI:16240	OO	H2O2
CHEBI:16268	CC[N+](=O)[O-]	nitroethane
CHEBI:16301	O=N[O-]	nitrite
CHEBI:16382	[I-]	iodide
CHEBI:16397	NC=O	formamide
CHEBI:16480	[N]=O	nitric oxide
CHEBI:16481	NC(=O)NCO	N-(hydroxymethyl)urea
CHEBI:16526	O=C=O	CO2
CHEBI:16573	O=C=S	carbonyl sulfide
CHEBI:16698	N#CN	cyanamide
CHEBI:16793	[Hg+2]	Hg(2+)
CHEBI:16842	C=O	formaldehyde
CHEBI:17045	N#[N+][O-]	nitrous oxide
CHEBI:17051	[F-]	fluoride
CHEBI:17071	O=CCO	glycolaldehyde
CHEBI:17194	ClCBr	bromochloromethane
CHEBI:17245	[C-]#[O+]	CO
